0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1.515494,17.146965,21.039389,-7.380113,-23.578907,-0.47899318,15.030161,-1.2040337,24.854414,34.204487,-12.839902,-45.052605,-16.931675,12.478726,-3.2916546,25.983423,39.989,1.6961063,-30.061714,-14.217066,7.5710196,-6.1657124,18.072172,32.30117,18.730152,0.76151425,0.10791315,7.416816,-8.976782,3.45254,15.282174,15.212853,7.633676,3.2443347,7.046695,-9.066952,-5.8567095,-1.5008972,-1.0288053,-2.9612758,-1.8890191,4.2744436,-6.5288534,-8.731153,-9.213432,-9.285454,-9.184592,-7.477913,-2.168938
1.803327,11.906823,9.56355,-3.973514,-3.3619068,9.755825,11.487195,-0.6238484,15.61908,9.927305,-16.56757,-23.057314,-1.7789614,12.814752,-2.3953602,16.555574,16.915386,-7.3714128,-20.425125,-6.56767,8.778732,-5.861626,9.328718,17.047537,8.096258,-2.3407125,-0.5882624,7.1508255,-8.859926,-0.15302385,7.1082997,6.595732,2.0718043,1.3668954,6.8050437,-9.071211,-6.754279,-3.6769254,-3.5017843,-4.215504,-2.1006496,4.270424,-6.517724,-8.711709,-9.169623,-9.201553,-9.076924,-7.395529,-2.1497083
-1.7473636,4.785448,7.9650545,8.210585,8.353953,9.350451,8.2490015,-7.4010253,-1.8270618,1.374761,1.5832762,1.863114,4.372893,8.689736,-9.648418,-5.2881794,-2.3403378,-2.199373,-1.9252418,1.1521661,7.298589,-9.768881,-5.5213313,-2.5398784,-2.3828208,-2.1747885,0.86785984,7.1389394,-9.719937,-5.743864,-2.8009293,-2.6033547,-2.4048655,0.5756176,6.8531237,-8.917713,-7.3748794,-5.210876,-5.0307593,-4.8159046,-2.0306227,4.244624,-6.341458,-8.474627,-8.917747,-8.945373,-8.824217,-7.197562,-2.102015
-1.7495855,6.036117,9.732353,5.9596834,5.3717065,10.236588,9.455184,-7.496966,1.2758762,7.16435,-2.9755979,-8.56861,3.2776234,11.091386,-9.792988,-1.2317709,7.024402,-3.2748802,-13.145925,-2.4415157,9.046444,-9.945311,-2.7387958,5.2277336,1.8198076,-4.3937984,-0.6168361,7.4633455,-9.938739,-4.811686,0.5815497,1.2747047,-0.53891695,0.7005848,6.836062,-9.150528,-7.3845367,-4.703421,-4.2964287,-4.5328264,-2.157216,4.2839656,-6.518361,-8.714136,-9.175961,-9.214126,-9.097058,-7.4170284,-2.1566477
12.75854,3.0028276,-20.930277,-3.3651397,16.979856,12.661817,8.468598,23.912777,8.381405,-46.70787,-31.442389,9.49406,10.440497,8.879472,28.18584,24.058111,-34.51085,-34.60994,-1.8339128,4.7010856,7.4536357,19.339481,28.09579,1.0358199,-9.559124,-3.6114273,1.3294328,7.3573775,3.2243397,14.4159975,11.417345,1.7129688,-2.752775,0.34066412,7.1256146,-7.676715,-2.9669678,-1.5403376,-4.15758,-5.1411757,-2.1527574,4.4352217,-6.5533075,-8.778395,-9.255999,-9.286203,-9.145632,-7.4407916,-2.1570065
2.2549634,4.698583,3.4737294,7.606755,5.9027834,6.5666633,10.274214,4.160805,1.7865343,-10.417667,-3.6715488,-5.1912804,-6.1156187,9.838629,6.7660146,6.88933,-9.058137,-5.887392,-7.787289,-10.280364,5.750576,2.7178345,9.449368,4.0821466,3.4946096,0.22262968,-1.4515129,6.560968,-5.137105,3.020868,5.874547,4.514222,2.0374806,2.161377,7.0725923,-8.66259,-5.5050373,-3.0701215,-3.5767894,-3.9990954,-1.8295828,4.2607923,-6.526476,-8.732801,-9.201136,-9.230286,-9.091842,-7.4000363,-2.1508932
-1.7713308,4.6695166,7.9407334,8.282217,8.386615,9.302032,8.2094145,-7.397826,-2.0279877,1.2826995,1.7030782,1.952644,4.306112,8.605976,-9.553025,-5.4667344,-2.4897928,-2.1132407,-1.8039368,1.1321778,7.217825,-9.669466,-5.568075,-2.6416974,-2.3527372,-2.0624058,0.9322555,7.126515,-9.658494,-5.707526,-2.8246439,-2.5821543,-2.3170865,0.67807055,6.9022455,-8.9090605,-7.35928,-5.2035356,-5.0118537,-4.7732286,-1.970207,4.292198,-6.3485084,-8.489037,-8.9406185,-8.975326,-8.854112,-7.2138014,-2.100235
-1.806419,6.6983047,11.989666,5.5342083,1.3859121,9.500953,10.4922905,-7.63806,2.0829725,12.16943,-1.2334849,-15.295254,-0.11134834,12.395,-9.981238,-0.73719394,12.293983,1.1604286,-16.561789,-5.3834596,9.438652,-10.095326,-2.751373,7.9317203,5.43893,-3.6554267,-0.9566337,7.3186164,-10.028802,-4.9390306,1.296691,2.723087,0.51345325,0.8818154,6.6191506,-9.196048,-7.4345045,-4.6077323,-4.043585,-4.3436646,-2.2255592,4.0865107,-6.542857,-8.733238,-9.154472,-9.128933,-8.957906,-7.294298,-2.151635
-1.7610135,4.5551996,7.938444,8.471774,8.476216,9.316972,8.255917,-7.0340667,-3.2432492,0.22431876,2.3000772,2.46112,4.3016586,8.699431,-8.6869545,-7.1828136,-5.044231,-1.9209982,-1.1594174,1.0884019,7.305159,-8.480719,-6.2360992,-4.452049,-2.6093624,-1.8307223,0.8505331,7.143951,-9.032106,-5.3187785,-3.0405593,-2.7676213,-2.4024246,0.5758475,6.8531837,-8.707547,-7.074643,-5.2157407,-5.141745,-4.8648257,-2.0419042,4.239237,-6.338726,-8.487163,-8.952686,-8.978069,-8.842346,-7.2058086,-2.1061344
-1.1556357,3.8411622,6.661294,8.915567,9.431188,9.6545925,8.466398,-5.489993,-3.4787705,-3.072422,1.3598136,3.3950145,4.579179,8.874036,-6.976052,-5.6858473,-6.8187723,-3.382998,-1.0391136,1.2770653,7.4352655,-8.018911,-4.4327292,-3.558092,-2.9480135,-2.0995164,0.9684334,7.315698,-9.33194,-4.884432,-2.533064,-2.7891555,-2.548507,0.65179336,7.0647736,-9.078946,-7.4087353,-5.3265624,-5.2324166,-4.955908,-2.0491579,4.388086,-6.5176506,-8.711322,-9.168149,-9.1985655,-9.072624,-7.3913736,-2.1473417
