Time,Amp
49.5,1667.519
49.55,1296.117
49.6,900.8934
49.65,505.1283
49.7,133.185
49.75,-195.9876
49.8,-469.9372
49.85,-680.5427
49.9,-825.0971
49.95,-909.0144
50,-940.4157
50.05,-933.3775
50.1,-901.9762
50.15,-862.4538
50.2,-829.9697
50.25,-817.5175
50.3,-835.3837
50.35,-887.3583
50.4,-975.0656
50.45,-1091.467
50.5,-1227.9
50.55,-1372.455
50.6,-1508.888
50.65,-1618.793
50.7,-1686.468
50.75,-1699.462
50.8,-1644.239
50.85,-1514.302
50.9,-1309.652
50.95,-1034.62
51,-699.4918
51.05,-319.9688
51.1,86.08296
51.15,492.6761
51.2,878.6959
51.25,1219.779
51.3,1495.353
51.35,1687.009
51.4,1783.379
51.45,1778.506
51.5,1671.85
51.55,1470.449
51.6,1190.544
51.65,849.4602
51.7,470.4786
51.75,80.12754
51.8,-293.44
51.85,-627.4852
51.9,-897.645
51.95,-1084.429
52,-1178.091
52.05,-1171.053
52.1,-1064.397
52.15,-866.2437
52.2,-590.1285
52.25,-256.0833
52.3,113.6945
52.35,493.7589
52.4,858.1226
52.45,1182.422
52.5,1447.168
52.55,1632.328
52.6,1729.239
52.65,1730.863
52.7,1637.2
52.75,1456.372
52.8,1199.747
52.85,882.4857
52.9,524.0774
52.95,146.72
53,-229.5546
53.05,-585.2559
53.1,-901.9762
53.15,-1166.181
53.2,-1365.958
53.25,-1496.436
53.3,-1555.449
53.35,-1547.328
53.4,-1473.697
53.45,-1345.926
53.5,-1173.76
53.55,-966.9445
53.6,-736.8484
53.65,-493.2175
53.7,-244.1724
53.75,2.165609
53.8,243.0896
53.85,472.1028
53.9,689.2051
53.95,891.6895
54,1078.473
54.05,1249.015
54.1,1400.608
54.15,1529.461
54.2,1631.245
54.25,1700.545
54.3,1730.322
54.35,1715.704
54.4,1648.57
54.45,1524.589
54.5,1341.053
54.55,1097.964
54.6,799.6511
54.65,455.3193
54.7,73.08931
54.75,-329.1726
54.8,-733.0587
54.85,-1118.537
54.9,-1463.952
54.95,-1748.188
55,-1951.755
55.05,-2060.577
55.1,-2061.118
55.15,-1952.297
55.2,-1734.112
55.25,-1416.308
55.3,-1014.046
55.35,-551.6889
55.4,-53.59882
55.45,448.8225
55.5,925.2565
55.55,1343.76
55.6,1678.888
55.65,1906.277
55.7,2012.934
55.75,1987.488
55.8,1834.271
55.85,1561.946
55.9,1189.461
55.95,741.7211
56,249.045
56.05,-252.2935
56.1,-727.1032
56.15,-1143.442
56.2,-1469.907
56.25,-1684.302
56.3,-1772.551
