Wall time,Step,Value
1645969875.236655,726,2.3543556380900554e-05
1645969879.9643586,727,2.3543558199889958e-05
1645969889.439691,729,2.3543556380900554e-05
1645969894.16823,730,2.3543558199889958e-05
1645969903.6566794,732,2.3543556380900554e-05
1645969908.402255,733,2.360315920668654e-05
1645969913.112264,734,2.3543558199889958e-05
1645969936.7227821,739,2.360315920668654e-05
1645969955.6079743,743,2.3662763851461932e-05
1645969965.1832707,745,2.3662763851461932e-05
1645970021.989417,757,2.3781969503033906e-05
1645970031.4136775,759,2.3781969503033906e-05
1645970059.8031175,765,2.390117515460588e-05
1645970064.5239751,766,2.3841572328819893e-05
1645970078.8294501,769,2.396077979938127e-05
1645970083.5723503,770,2.390117515460588e-05
1645970097.7257304,773,2.396077979938127e-05
1645970111.9039357,776,2.396077979938127e-05
1645970116.6400454,777,2.396077979938127e-05
1645970126.0491211,779,2.396077979938127e-05
1645970130.766558,780,2.396077979938127e-05
1645970135.5211687,781,2.4020382625167258e-05
1645970140.2546737,782,2.4079985450953245e-05
1645970144.9955583,783,2.4020382625167258e-05
1645970173.4124177,789,2.4139590095728636e-05
1645970187.6689408,792,2.4139590095728636e-05
1645970249.3367023,805,2.425879574730061e-05
1645970254.0791845,806,2.425879574730061e-05
1645970258.8453922,807,2.425879574730061e-05
1645970263.617386,808,2.425879574730061e-05
1645970277.743822,811,2.425879574730061e-05
1645970315.7442513,819,2.4378001398872584e-05
1645970320.4753728,820,2.4378001398872584e-05
1645970358.4664516,828,2.4437606043647975e-05
1645970363.1671202,829,2.4437606043647975e-05
1645970382.140859,833,2.4497207050444558e-05
1645970386.90406,834,2.4497208869433962e-05
1645970396.4165285,836,2.4497207050444558e-05
1645970401.1482313,837,2.4497207050444558e-05
1645970415.3597903,840,2.455681169521995e-05
1645970420.092855,841,2.4497207050444558e-05
1645970434.427975,844,2.455681169521995e-05
1645970443.9282424,846,2.455681169521995e-05
1645970467.6734853,851,2.4616414521005936e-05
1645970472.4039626,852,2.4676017346791923e-05
1645970486.6309822,855,2.4735621991567314e-05
1645970500.8970764,858,2.4735621991567314e-05
1645970515.1172812,861,2.4735621991567314e-05
1645970524.582291,863,2.4795222998363897e-05
1645970538.967239,866,2.4854827643139288e-05
1645970543.7543876,867,2.4854827643139288e-05
1645970562.651592,871,2.4914430468925275e-05
1645970567.4478452,872,2.491443228791468e-05
1645970629.0714974,885,2.5033637939486653e-05
1645970638.6060598,887,2.5033637939486653e-05
1645970657.5773265,891,2.5093238946283236e-05
1645970666.9980648,893,2.5152843591058627e-05
1645970681.2678251,896,2.5212446416844614e-05
1645970690.7859213,898,2.5212446416844614e-05
1645970695.5150373,899,2.5212446416844614e-05
1645970709.765055,902,2.5212446416844614e-05
1645970714.530951,903,2.5212446416844614e-05
1645970738.191307,908,2.52720492426306e-05
1645970742.940383,909,2.52720492426306e-05
1645970752.418985,911,2.5331652068416588e-05
1645970757.167443,912,2.533165388740599e-05
1645970771.2844687,915,2.533165388740599e-05
1645970790.2054448,919,2.5391254894202575e-05
1645970794.913042,920,2.5450859538977966e-05
1645970804.4363616,922,2.5391254894202575e-05
1645970837.589161,929,2.5510462364763953e-05
1645970847.1230466,931,2.551046054577455e-05
1645970851.8952806,932,2.557006519054994e-05
1645970856.6926334,933,2.557006519054994e-05
1645970889.878299,940,2.562966983532533e-05
1645970904.0240664,943,2.5629668016335927e-05
1645970918.310882,946,2.5748875486897305e-05
1645970937.3008142,950,2.5748875486897305e-05
1645970951.4026363,953,2.5808478312683292e-05
1645970965.690915,956,2.586808113846928e-05
1645970989.5151665,961,2.5927683964255266e-05
1645971003.7292967,964,2.5987286790041253e-05
1645971013.2052402,966,2.5987286790041253e-05
1645971022.6728709,968,2.5987286790041253e-05
1645971027.4089823,969,2.5987286790041253e-05
1645971074.7041812,979,2.6106492441613227e-05
1645971079.4345021,980,2.6166097086388618e-05
1645971093.5842109,983,2.6166097086388618e-05
1645971112.4879732,987,2.62256980931852e-05
1645971131.4717033,991,2.62256980931852e-05
1645971140.9365983,993,2.6225699912174605e-05
1645971150.3962238,995,2.6285302737960592e-05
1645971159.9320548,997,2.634490556374658e-05
1645971169.3427596,999,2.6285302737960592e-05
1645971174.0663211,1000,2.634490556374658e-05
1645971188.2548344,1003,2.634490556374658e-05
1645971192.975684,1004,2.6404508389532566e-05
1645971197.766032,1005,2.634490556374658e-05
1645971207.3050632,1007,2.6404508389532566e-05
1645971231.1240811,1012,2.6464113034307957e-05
1645971240.5909045,1014,2.6404508389532566e-05
1645971250.0921695,1016,2.6464113034307957e-05
1645971283.3793085,1023,2.652371404110454e-05
1645971302.3446972,1027,2.658331868587993e-05
1645971311.8421214,1029,2.658331868587993e-05
1645971345.082098,1036,2.6702524337451905e-05
1645971349.8309312,1037,2.6642919692676514e-05
1645971354.6173744,1038,2.6702524337451905e-05
1645971359.381402,1039,2.6702524337451905e-05
1645971364.213195,1040,2.6762127163237892e-05
1645971383.228771,1044,2.6762127163237892e-05
1645971397.4733703,1047,2.6762127163237892e-05
1645971444.976248,1057,2.6940935640595853e-05
1645971454.4942787,1059,2.6940935640595853e-05
1645971463.979075,1061,2.6940935640595853e-05
1645971473.492485,1063,2.6940935640595853e-05
1645971487.7294457,1066,2.700053846638184e-05
1645971497.2868724,1068,2.7060141292167827e-05
1645971506.82498,1070,2.706014311115723e-05
1645971511.561834,1071,2.7060141292167827e-05
1645971516.277661,1072,2.7060141292167827e-05
1645971521.0256836,1073,2.7119745936943218e-05
1645971525.8070087,1074,2.7119745936943218e-05
1645971530.5431442,1075,2.7119745936943218e-05
1645971544.8056633,1078,2.7119745936943218e-05
1645971559.118415,1081,2.71793469437398e-05
1645971582.735104,1086,2.7179348762729205e-05
1645971587.4138246,1087,2.729855441430118e-05
1645971592.1369388,1088,2.7238951588515192e-05
1645971611.1451442,1092,2.729855441430118e-05
1645971644.3549807,1099,2.7358157240087166e-05
1645971653.7543666,1101,2.7417760065873154e-05
1645971663.220517,1103,2.7417761884862557e-05
